state,gender,name,link,information
"Maharashtra","Male","Jalyukta Shivar Yojana","http://mrsac.maharashtra.gov.in/jalyukt/","Jalyukta Shivar Yojana is a water conservation initiative launched by the government of Maharashtra, India, in 2015. The scheme's primary objective is to make villages water-sufficient and drought-free by implementing various water conservation and management strategies. It includes the construction of check dams, percolation tanks, farm ponds, and other water storage structures to increase groundwater recharge and prevent soil erosion. The program also focuses on desilting water bodies to improve their capacity for water storage and recharge. By doing so, the scheme aims to enhance agricultural productivity, improve farmers' livelihoods, and provide water for domestic and industrial purposes in rural areas. Overall, Jalyukta Shivar Yojana seeks to create a sustainable and efficient water management system in Maharashtra's rural regions."
"Maharashtra","Male","Pradhan Mantri Awas Yojana","https://pmay-urban.gov.in/","Pradhan Mantri Awas Yojana (PMAY) is a housing scheme launched in 2015 to provide affordable housing for urban and rural poor across India. The scheme aims to achieve 'Housing for All' by 2022 and includes two components: PMAY-Urban and PMAY-Rural. Eligibility criteria include economically weaker sections (EWS), lower-income groups (LIG), and middle-income groups (MIG), as well as scheduled castes, scheduled tribes, and other backward classes. Beneficiaries receive interest subsidies on home loans and financial assistance for constructing or renovating houses. Additionally, the scheme promotes women's homeownership by requiring the house to be registered in the name of the female head of the household or jointly with her. PMAY focuses on improving living conditions, promoting sustainable construction, and providing inclusive housing solutions."
"Maharashtra","Male","Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)","https://pmkisan.gov.in/","Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) is a government scheme launched in 2019 to provide financial support to small and marginal farmers across India. Under the scheme, eligible farmers receive a direct cash transfer of Rs. 6,000 per year in three equal installments of Rs. 2,000 each. The objective is to supplement the income of farmers and help them meet their agricultural and household expenses. Eligibility includes ownership of up to 2 hectares of cultivable land and adherence to other criteria such as income limits and non-exclusion clauses. PM-KISAN aims to improve farmers' quality of life and contribute to the growth and sustainability of the agricultural sector by providing timely and assured income support."
"Maharashtra","Male","Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PM-JAY)","https://web.umang.gov.in/landing/department/pradhan-mantri-jan-arogya-yojana.html","Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PM-JAY) is a national healthcare program launched in 2018 to provide free healthcare coverage to economically vulnerable families in India. Under the scheme, eligible families receive coverage of up to Rs. 5 lakhs per year for secondary and tertiary care hospitalization. The beneficiaries are selected based on the Socio-Economic Caste Census (SECC) data and include households with low income and marginalized groups. PM-JAY aims to reduce the financial burden of medical expenses and improve access to quality healthcare services by covering various treatments, procedures, and surgeries. The scheme partners with both public and private hospitals to offer a wide range of medical services, ensuring beneficiaries receive comprehensive and timely care."
"Maharashtra","Male","Mahatma Jyotirao Phule Shetkari Karjmukti Yojana","https://mjpsky.maharashtra.gov.in/","Mahatma Jyotirao Phule Shetkari Karjmukti Yojana is a debt relief scheme launched by the Maharashtra government to alleviate the financial burden on small and marginal farmers. Under this scheme, outstanding crop loans and term loans up to a certain limit, taken from banks or financial institutions by farmers as of September 30, 2019, are waived off. The scheme primarily targets farmers who own up to 2 hectares of land, providing them with relief from debts incurred for agricultural purposes. By reducing the debt burden, the scheme aims to improve the financial stability of farmers, support their agricultural activities, and promote sustainable farming practices in the state."
"Maharashtra","Female","Mahila Shakti Kendra Scheme","https://pib.gov.in/newsite/PrintRelease.aspx?relid=178466","Mahila Shakti Kendra (MSK) is a central government scheme launched in 2017 to empower rural women by providing them with skill development, employment opportunities, and access to government schemes. The scheme primarily targets rural women aged 18-35 and aims to enhance their socio-economic status through community engagement and training programs. MSK facilitates the creation of district-level centers to provide support and resources to women for their overall development. The scheme focuses on promoting education, health, and entrepreneurship opportunities while also raising awareness about women's rights and welfare. By connecting women with various government initiatives and schemes, Mahila Shakti Kendra seeks to uplift and empower rural women and improve their quality of life."
"Maharashtra","Female","Tejaswini Scheme","https://wcd.nic.in/schemes-list/tejaswini-scheme","Tejaswini scheme is an initiative by the government of Maharashtra aimed at empowering women in rural areas through self-help groups (SHGs) and promoting their economic independence. The scheme provides skill development training, access to credit, and market linkages to encourage women to start their own businesses or enhance existing ones. It targets women aged 18-45 who are members of SHGs, focusing on marginalized and socially disadvantaged groups. Through financial assistance and guidance, Tejaswini scheme aims to foster entrepreneurship, improve livelihoods, and boost women's participation in economic activities. Additionally, the scheme offers support for capacity building, leadership development, and financial literacy to ensure the sustainable growth and empowerment of women in rural Maharashtra."
"Maharashtra","Female","Pradhan Mantri Ujjwala Yojana (PMUY)","https://www.pmuy.gov.in/","Pradhan Mantri Ujjwala Yojana (PMUY) is a government initiative launched in 2016 to provide clean cooking fuel in the form of LPG (liquefied petroleum gas) connections to poor households across India. The scheme targets women from Below Poverty Line (BPL) families, aiming to improve their health and quality of life by reducing reliance on traditional biomass fuels that cause indoor air pollution. Eligible households receive a financial subsidy to cover the initial cost of an LPG connection, including the cylinder, regulator, and hose. PMUY not only empowers women by providing a safer and more convenient cooking option but also contributes to the overall well-being of families by reducing health risks associated with open fires and smoke."
"Maharashtra","Female","Sukanya Samriddhi Yojana","https://www.nsiindia.gov.in/(S(kruxhw45aabg0r45o5ewya2p))/InternalPage.aspx?Id_Pk=177","Sukanya Samriddhi Yojana is a government-backed savings scheme launched in 2015 as part of the Beti Bachao, Beti Padhao campaign to promote the welfare of the girl child in India. The scheme encourages parents to save for their daughter's education and future marriage expenses. Parents or legal guardians can open an account in the name of a girl child under the age of 10 and contribute between Rs. 250 and Rs. 1.5 lakh annually. The account earns an attractive interest rate, which is tax-exempt along with the deposits and maturity amount. The account matures after 21 years, providing a substantial corpus for the girl child's future needs. Sukanya Samriddhi Yojana is a secure, tax-efficient investment option that promotes the financial security and empowerment of the girl child."
"Maharashtra","Female","Mahila Arthik Vikas Mahamandal (MAVIM)","https://womenchild.maharashtra.gov.in/content/innerpage/mavim.php","Mahila Arthik Vikas Mahamandal (MAVIM) is an organization established by the government of Maharashtra to empower women by promoting their socio-economic development through self-help groups (SHGs) and various support programs. MAVIM aims to provide financial assistance, skill development training, and market linkages to women, especially those from marginalized backgrounds. The organization works towards enhancing the economic status of women by offering loans, credit facilities, and other financial services through SHGs. It also provides capacity-building programs and entrepreneurship training to help women start or expand their businesses. MAVIM strives to improve the livelihoods and social standing of women in Maharashtra, fostering their participation in economic activities and decision-making processes."
