scheme_name,informarion,state,gender

"Mahatma Phule Krishi Sinchan Yojana (Drip Irrigation Scheme)","Mahatma Phule Krishi Sinchan Yojana, also known as the Drip Irrigation Scheme, aims to promote modern irrigation techniques such as drip and sprinkler systems among farmers in Maharashtra. This scheme is open to all farmers, including male farmers, across the state. It provides substantial subsidies on the installation of irrigation systems to help conserve water and improve agricultural productivity, leading to more sustainable farming practices.","Maharashtra","Male"
"Mahatma Phule Shetkari Karj Mukti Yojana (Farmer Loan Waiver Scheme)","The Mahatma Phule Shetkari Karj Mukti Yojana, or Farmer Loan Waiver Scheme, provides debt relief to farmers in Maharashtra by waiving their outstanding agricultural loans. The scheme is intended for farmers, including male farmers, who have crop loans. By waiving off their debt, the scheme helps alleviate the financial burden on farmers, providing them with a fresh start and the opportunity to improve their economic condition.","Maharashtra","Male"
"Baliraja Chetna Abhiyan","Baliraja Chetna Abhiyan focuses on empowering farmers with knowledge about modern agricultural practices and financial management. The scheme targets farmers in Maharashtra, including male farmers, by offering training and workshops on advanced farming techniques, crop management, and market trends. This knowledge transfer helps farmers increase productivity and improve their overall agricultural practices.","Maharashtra","Male"
"Shivaji Maharaj Shetkari Sanman Yojana (Chief Minister's Agriculture Investment Scheme)","Shivaji Maharaj Shetkari Sanman Yojana, or the Chief Minister's Agriculture Investment Scheme, provides financial support to farmers for purchasing farm equipment and implementing modern agricultural practices. The scheme is open to all farmers in Maharashtra, including male farmers. Through financial assistance, it helps farmers acquire farm machinery, equipment, and other agricultural inputs necessary for enhancing their farming operations.","Maharashtra","Male"
"Pradhan Mantri Fasal Bima Yojana (PMFBY)","Pradhan Mantri Fasal Bima Yojana (PMFBY), although a central government scheme, is implemented by the Maharashtra government for farmers in the state. The scheme offers insurance coverage against crop loss for all farmers in Maharashtra, including male farmers. It covers various risks such as natural calamities, pests, and diseases, ensuring financial security for farmers in case of adverse events affecting their crops.","Maharashtra","Male"

"Sukanya Samriddhi Yojana","Sukanya Samriddhi Yojana is a small savings scheme aimed at securing the future of girl children in Maharashtra and across India. Parents or legal guardians can open an account in the name of a girl child under the age of 10. The scheme offers attractive interest rates and tax benefits on deposits, providing a secure financial plan for the girl's education and marriage expenses. Deposits can be made regularly, and the account matures when the girl reaches the age of 21. The scheme encourages saving for the future of the girl child, helping to improve her socio-economic status.","Maharashtra","Female"
"Jeevan Jyoti Yojana","Jeevan Jyoti Yojana focuses on improving the health and well-being of pregnant women and new mothers in Maharashtra. Women from low-income households are eligible for this scheme, which provides access to quality healthcare, nutritional supplements, and financial assistance for safe childbirth. The scheme ensures that expectant and new mothers receive necessary medical attention and resources during pregnancy and postnatal care, contributing to lower maternal and infant mortality rates.","Maharashtra","Female"
"Mahila Arthik Vikas Mahamandal (MAVIM)","Mahila Arthik Vikas Mahamandal (MAVIM) is a women's development corporation in Maharashtra that empowers women socially and economically. It forms self-help groups (SHGs) and provides them with financial assistance, training, and support for starting and expanding small businesses. MAVIM targets women from rural and underserved areas, helping them gain financial independence and entrepreneurial skills. Through capacity-building initiatives, the scheme promotes gender equality and women's empowerment in the state.","Maharashtra","Female"
